2026-04-24T17:20:14.431895,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:20:25.247704,VIDEO_REJECTED,cyclo rejected video,freq=3643665445.665446,score=0
2026-04-24T17:20:25.251754,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3660000000
2026-04-24T17:20:25.290819,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3680000000
2026-04-24T17:20:25.328272,PLATEAU_CONFIRMED,Wideband signal detected,freq=3697189255.189255,bw=8.1884765625,hits=5
2026-04-24T17:20:25.363481,VIDEO_REJECTED,cyclo rejected video,freq=3697189255.189255,score=0
2026-04-24T17:20:25.379770,PLATEAU_CONFIRMED,Wideband signal detected,freq=3716212454.2124543,bw=9.365234375,hits=7
2026-04-24T17:20:25.412001,VIDEO_REJECTED,cyclo rejected video,freq=3716212454.2124543,score=0
2026-04-24T17:20:25.416775,PLATEAU_CONFIRMED,Wideband signal detected,freq=3741350427.350427,bw=6.3427734375,hits=9
2026-04-24T17:20:25.438375,VIDEO_REJECTED,cyclo rejected video,freq=3741350427.350427,score=0
2026-04-24T17:20:25.448743,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3760000000
2026-04-24T17:20:25.488165,PLATEAU_CONFIRMED,Wideband signal detected,freq=3781384615.3846154,bw=6.7333984375,hits=5
2026-04-24T17:20:25.520094,VIDEO_REJECTED,cyclo rejected video,freq=3781384615.3846154,score=0
2026-04-24T17:20:25.533912,PLATEAU_CONFIRMED,Wideband signal detected,freq=3796722832.7228327,bw=9.052734375,hits=10
2026-04-24T17:20:25.579280,VIDEO_REJECTED,cyclo rejected video,freq=3796722832.7228327,score=0
2026-04-24T17:20:25.600844,PLATEAU_CONFIRMED,Wideband signal detected,freq=3814979242.9792433,bw=9.033203125,hits=10
2026-04-24T17:20:25.663618,VIDEO_REJECTED,cyclo rejected video,freq=3814979242.9792433,score=0
2026-04-24T17:20:25.668251,PLATEAU_CONFIRMED,Wideband signal detected,freq=3833631257.6312575,bw=8.4521484375,hits=10
2026-04-24T17:20:25.699344,VIDEO_REJECTED,cyclo rejected video,freq=3833631257.6312575,score=0
2026-04-24T17:20:25.702898,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3860000000
2026-04-24T17:20:25.878851,PLATEAU_CONFIRMED,Wideband signal detected,freq=3933892551.892552,bw=5.56640625,hits=5
2026-04-24T17:20:25.923306,PLATEAU_CONFIRMED,Wideband signal detected,freq=3953653235.6532354,bw=5.546875,hits=5
2026-04-24T17:20:25.923355,VIDEO_REJECTED,cyclo rejected video,freq=3933892551.892552,score=0
2026-04-24T17:20:25.948395,VIDEO_REJECTED,cyclo rejected video,freq=3953653235.6532354,score=0
2026-04-24T17:20:26.039732,PLATEAU_CONFIRMED,Wideband signal detected,freq=4039142857.142857,bw=9.1650390625,hits=5
2026-04-24T17:20:26.063716,VIDEO_REJECTED,cyclo rejected video,freq=4039142857.142857,score=0
2026-04-24T17:20:26.215878,PLATEAU_CONFIRMED,Wideband signal detected,freq=4156358974.3589745,bw=9.9560546875,hits=5
2026-04-24T17:20:26.239501,VIDEO_REJECTED,cyclo rejected video,freq=4156358974.3589745,score=0
2026-04-24T17:20:26.530850,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=4400000000
2026-04-24T17:20:26.636271,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=4480000000
2026-04-24T17:20:27.336769,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=5020000000
2026-04-24T17:20:28.226097,PLATEAU_CONFIRMED,Wideband signal detected,freq=5697609279.60928,bw=5.205078125,hits=5
2026-04-24T17:20:28.250134,VIDEO_REJECTED,cyclo rejected video,freq=5697609279.60928,score=0
2026-04-24T17:20:28.335366,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=5780000000
